id,category,topic,minLabel,maxLabel
1090,休日・趣味,家に専用スペースがほしい趣味,なくてもいい,絶対ほしい
1091,休日・趣味,休日の朝にしたいこと,あまりしたくない,絶対したい
1092,休日・趣味,休日の夜にしたいこと,あまりしたくない,絶対したい
1093,休日・趣味,疲れた日にしたいこと,あまり癒やされない,最高に癒やされる
1094,休日・趣味,ストレス発散にしたいこと,あまり発散できない,最高に発散できる
1095,休日・趣味,一日時間が空いたらしたいこと,あまり選ばない,真っ先に選ぶ
1096,休日・趣味,連休が取れたらしたいこと,あまりしたくない,絶対したい
1097,休日・趣味,スマホを置いて楽しみたいこと,あまり楽しめない,最高に楽しめる
1098,休日・趣味,冬の休日にしたいこと,あまりしたくない,絶対したい
1099,休日・趣味,夏の休日にしたいこと,あまりしたくない,絶対したい
1100,休日・趣味,年を取っても続けたい趣味,そこまで続けなくていい,ずっと続けたい
1101,買い物・欲しいもの,今ほしいもの,あまりほしくない,今すぐほしい
1102,買い物・欲しいもの,臨時収入が入ったら買いたいもの,あまり買わない,真っ先に買いたい
1103,買い物・欲しいもの,10万円自由に使えるならほしいもの,あまり使いたくない,絶対これに使いたい
1104,買い物・欲しいもの,家電でほしいもの,なくても平気,今すぐほしい
1105,買い物・欲しいもの,家具でほしいもの,なくても平気,今すぐほしい
1106,買い物・欲しいもの,車に付けたいもの,なくても平気,絶対付けたい
1107,買い物・欲しいもの,スマホ周りでほしいもの,なくても平気,絶対ほしい
1108,買い物・欲しいもの,キッチンにほしいもの,なくても平気,絶対ほしい
1109,買い物・欲しいもの,寝室にほしいもの,なくても平気,絶対ほしい
1110,買い物・欲しいもの,旅行用にほしいもの,なくても平気,絶対ほしい
1111,買い物・欲しいもの,コンビニで衝動買いしそうなもの,あまり買わない,つい買ってしまう
1112,買い物・欲しいもの,ネット通販で見たら欲しくなるもの,あまり欲しくならない,すぐ欲しくなる
1113,買い物・欲しいもの,プレゼントでもらったらうれしいもの,あまりうれしくない,最高にうれしい
1114,買い物・欲しいもの,誕生日にもらいたいもの,あまりほしくない,絶対ほしい
1115,買い物・欲しいもの,自分へのごほうびに買いたいもの,ごほうび感がない,最高のごほうび
1116,買い物・欲しいもの,少し高くても買いたいもの,安くないと買わない,高くても欲しい
1117,買い物・欲しいもの,家に置きたい便利グッズ,なくてもいい,絶対置きたい
1118,買い物・欲しいもの,毎日使いたい道具,たまにでいい,毎日使いたい
1119,買い物・欲しいもの,壊れたらすぐ買い直すもの,なくても困らない,即買い直す
1120,買い物・欲しいもの,一生ものとして買いたいもの,使い捨てでいい,長く大切に使いたい
1121,映画・音楽・エンタメ,今見たい映画,全然見たくない,今すぐ見たい
1122,映画・音楽・エンタメ,映画館で見たい作品,家で十分,絶対映画館で見たい
1123,映画・音楽・エンタメ,もう一度見たい映画,見返さなくていい,今すぐ見返したい
1124,映画・音楽・エンタメ,泣ける映画,あまり泣かなそう,大号泣しそう
1125,映画・音楽・エンタメ,友達にすすめたい映画,すすめにくい,絶対すすめたい
1126,映画・音楽・エンタメ,今カラオケで歌いたい曲,あまり歌いたくない,今すぐ歌いたい
1127,映画・音楽・エンタメ,カラオケで盛り上がる曲,あまり盛り上がらない,最高に盛り上がる
1128,映画・音楽・エンタメ,ドライブ中に聴きたい曲,あまり合わない,最高に合う
1129,映画・音楽・エンタメ,夜に聴きたい曲,あまり合わない,最高に合う
1130,映画・音楽・エンタメ,テンションを上げたい時に聴く曲,あまり上がらない,最高に上がる
1131,映画・音楽・エンタメ,落ち込んだ時に聴きたい曲,あまり響かない,最高に元気が出る
1132,映画・音楽・エンタメ,ライブで聴きたい曲,あまり聴かなくていい,絶対聴きたい
1133,映画・音楽・エンタメ,もう一度見たいテレビ番組,見返さなくていい,今すぐ見たい
1134,映画・音楽・エンタメ,配信で一気見したい作品,あまり見たくない,止まらなくなる
1135,映画・音楽・エンタメ,休日に見たい動画ジャンル,あまり見ない,何時間でも見たい
1136,映画・音楽・エンタメ,家族や友達と一緒に見たい番組,一人で十分,みんなで見たい
1137,映画・音楽・エンタメ,何度見ても笑える作品,そこまで笑わない,毎回大笑いする
1138,映画・音楽・エンタメ,BGMとして流したい音楽,あまり流したくない,ずっと流したい
1139,映画・音楽・エンタメ,思い出補正が強い曲,あまり思い出さない,聴くだけで当時に戻る
1140,映画・音楽・エンタメ,生で見てみたいエンタメ,配信で十分,絶対生で見たい
1141,人間関係・大人生活,友達にいてほしいタイプ,少し合わなそう,絶対仲良くなれる
1142,人間関係・大人生活,一緒に旅行したい人の特徴,少し不安,最高の旅行仲間
1143,人間関係・大人生活,一緒に飲みに行きたい人の特徴,あまり合わない,絶対楽しい
1144,人間関係・大人生活,職場にいてほしい人の特徴,いなくてもいい,絶対いてほしい
1145,人間関係・大人生活,頼りたい人の特徴,少し頼りにくい,絶対頼れる
1146,人間関係・大人生活,相談したい人の特徴,相談しにくい,何でも相談できる
1147,人間関係・大人生活,長く付き合いたい友達の特徴,そこまで重要じゃない,絶対大事
1148,人間関係・大人生活,一緒に住みやすい人の特徴,少し暮らしにくい,最高に暮らしやすい
1149,人間関係・大人生活,飲み会にいてほしい人の特徴,いなくてもいい,絶対いてほしい
1150,人間関係・大人生活,グループ旅行で任せたい役割,任せにくい,全部任せたい
1151,人間関係・大人生活,大人になって大事だと思うこと,そこまで重要じゃない,絶対大事
1152,人間関係・大人生活,仕事終わりにうれしいこと,そこまでうれしくない,最高にうれしい
1153,人間関係・大人生活,休日の予定としてうれしいもの,あまりうれしくない,最高にうれしい
1154,人間関係・大人生活,もらうとうれしい連絡,そこまでうれしくない,最高にうれしい
1155,人間関係・大人生活,褒められたらうれしいこと,そこまで響かない,最高にうれしい
1156,人間関係・大人生活,大人のぜいたくだと思うこと,そこまでぜいたくじゃない,最高のぜいたく
1157,人間関係・大人生活,生活でお金をかけたいもの,節約したい,惜しまず使いたい
1158,人間関係・大人生活,毎日の生活で大事にしたいこと,そこまで重要じゃない,絶対大事
1159,人間関係・大人生活,疲れている時にしてほしいこと,なくてもいい,最高にうれしい
1160,人間関係・大人生活,家族や友達と共有したい時間,なくても平気,絶対大切にしたい
1161,平成・懐かしさ,もう一度使ってみたい平成のもの,今は使わなくていい,もう一度使いたい
1162,平成・懐かしさ,見かけたら懐かしくなるもの,そこまで懐かしくない,一瞬で当時に戻る
1163,平成・懐かしさ,もう一度遊びたい昔の遊び,今はやらなくていい,今すぐやりたい
1164,平成・懐かしさ,もう一度見たい昔のテレビ番組,見返さなくていい,今すぐ見たい
1165,平成・懐かしさ,もう一度聴きたい昔の曲,今は聴かなくていい,今すぐ聴きたい
1166,平成・懐かしさ,昔のゲームで今も遊びたいもの,今は遊ばなくていい,今すぐ遊びたい
1167,平成・懐かしさ,昔のコンビニでまた買いたいもの,今はなくてもいい,復活してほしい
1168,平成・懐かしさ,昔のお菓子でまた食べたいもの,今は食べなくていい,今すぐ食べたい
1169,平成・懐かしさ,昔の飲み物でまた飲みたいもの,今は飲まなくていい,今すぐ飲みたい
1170,平成・懐かしさ,昔の家電で懐かしいもの,そこまで懐かしくない,ものすごく懐かしい
1171,平成・懐かしさ,ガラケー時代で懐かしいもの,そこまで懐かしくない,ものすごく懐かしい
1172,平成・懐かしさ,昔のネット文化で懐かしいもの,そこまで懐かしくない,ものすごく懐かしい
1173,平成・懐かしさ,平成の流行で懐かしいもの,そこまで懐かしくない,ものすごく懐かしい
1174,平成・懐かしさ,昔のファッションで懐かしいもの,そこまで懐かしくない,ものすごく懐かしい
1175,平成・懐かしさ,昔の店でまた行きたい場所,今は行かなくていい,もう一度行きたい
1176,平成・懐かしさ,昔よく買っていたものでまた欲しいもの,今は不要,また欲しい
1177,平成・懐かしさ,昔のCMでまた見たいもの,見なくてもいい,もう一度見たい
1178,平成・懐かしさ,昔の雑誌でまた読みたいもの,今は読まなくていい,もう一度読みたい
1179,平成・懐かしさ,昔のカラオケで歌いたい曲,今は歌わなくていい,今すぐ歌いたい
1180,平成・懐かしさ,平成を代表すると思うもの,あまり代表っぽくない,まさに平成
1181,もしも・妄想,100万円もらったら使いたいこと,あまり使いたくない,真っ先に使いたい
1182,もしも・妄想,1週間休みがあったらしたいこと,あまりしたくない,絶対したい
1183,もしも・妄想,1か月休みがあったらしたいこと,あまりしたくない,絶対したい
1184,もしも・妄想,どこでもドアがあったら行きたい場所,あまり行かない,真っ先に行きたい
1185,もしも・妄想,空を飛べたら行きたい場所,あまり行かない,絶対行きたい
1186,もしも・妄想,透明人間になれたらしたいこと,あまりしたくない,絶対したい
1187,もしも・妄想,瞬間移動できたらしたいこと,あまりしたくない,絶対したい
1188,もしも・妄想,一日だけ別の仕事をするならやりたい仕事,あまりやりたくない,絶対やりたい
1189,もしも・妄想,一日だけ有名人になったらしたいこと,あまりしたくない,絶対したい
1190,もしも・妄想,一日だけ子どもに戻れたらしたいこと,あまりしたくない,絶対したい
1191,もしも・妄想,一日だけ大富豪になったらしたいこと,あまりしたくない,絶対したい
1192,もしも・妄想,無人島に一つ持っていきたいもの,そこまで必要じゃない,絶対必要
1193,もしも・妄想,宇宙旅行でやりたいこと,あまり興味がない,絶対やりたい
1194,もしも・妄想,未来に行けたら見たいもの,そこまで見たくない,絶対見たい
1195,もしも・妄想,過去に行けたら見たい時代,そこまで興味がない,絶対見たい
1196,もしも・妄想,自宅に一部屋追加できたら作りたい部屋,なくてもいい,絶対ほしい
1197,もしも・妄想,一つだけ超能力を選ぶならほしい能力,あまりほしくない,絶対ほしい
1198,もしも・妄想,一生無料になるなら選びたいもの,そこまで得じゃない,絶対これがいい
1199,もしも・妄想,毎日3時間自由時間が増えたらしたいこと,あまりしない,毎日したい
1200,もしも・妄想,人生でもう一度体験したい楽しいこと,もう一度でなくていい,絶対もう一度体験したい
1201,アニメ・漫画 といえば,アニメ・漫画に登場する最強の武器といえば？,そこまで強くない,最強クラス
1202,アニメ・漫画 といえば,アニメ・漫画に登場する最強の必殺技といえば？,そこまで強くない,最強クラス
1203,アニメ・漫画 といえば,アニメ・漫画に登場する最強の能力といえば？,そこまで強くない,最強クラス
1204,アニメ・漫画 といえば,アニメ・漫画に登場する最強の魔法といえば？,そこまで強くない,最強クラス
1205,アニメ・漫画 といえば,アニメ・漫画で最強の主人公といえば？,そこまで強くない,最強クラス
1206,アニメ・漫画 といえば,アニメ・漫画で最強のラスボスといえば？,そこまで強くない,最強クラス
1207,アニメ・漫画 といえば,アニメ・漫画で最強の悪役キャラといえば？,そこまで強くない,最強クラス
1208,アニメ・漫画 といえば,アニメ・漫画で最強の剣士キャラといえば？,そこまで強くない,最強クラス
1209,アニメ・漫画 といえば,アニメ・漫画で最強の格闘キャラといえば？,そこまで強くない,最強クラス
1210,アニメ・漫画 といえば,アニメ・漫画で最強の頭脳派キャラといえば？,そこまで頭脳派ではない,最高の頭脳派
1211,アニメ・漫画 といえば,アニメ・漫画で最強の師匠キャラといえば？,そこまで強くない,最強クラス
1212,アニメ・漫画 といえば,アニメ・漫画に登場する最強のロボットといえば？,そこまで強くない,最強クラス
1213,アニメ・漫画 といえば,アニメ・漫画に登場する最強の巨大生物といえば？,そこまで強くない,最強クラス
1214,アニメ・漫画 といえば,アニメ・漫画で最強の特殊能力者といえば？,そこまで強くない,最強クラス
1215,アニメ・漫画 といえば,アニメ・漫画に登場する最強のアイテムといえば？,そこまで強くない,最強クラス
1216,アニメ・漫画 といえば,アニメ・漫画で一番頼れる仲間キャラといえば？,あまり頼れない,絶対に頼れる
1217,アニメ・漫画 といえば,アニメ・漫画で一番かっこいい主人公といえば？,そこまでかっこよくない,最高にかっこいい
1218,アニメ・漫画 といえば,アニメ・漫画で一番かっこいい悪役キャラといえば？,そこまでかっこよくない,最高にかっこいい
1219,アニメ・漫画 といえば,アニメ・漫画で一番かわいいキャラといえば？,そこまでかわいくない,最高にかわいい
1220,アニメ・漫画 といえば,アニメ・漫画で一番怖いキャラといえば？,そこまで怖くない,最高に怖い
1221,アニメ・漫画 といえば,アニメ・漫画で一番頭がいいキャラといえば？,そこまで頭がよくない,天才クラス
1222,アニメ・漫画 といえば,アニメ・漫画で一番熱いキャラといえば？,そこまで熱くない,最高に熱い
1223,アニメ・漫画 といえば,アニメ・漫画で一番優しいキャラといえば？,そこまで優しくない,最高に優しい
1224,アニメ・漫画 といえば,アニメ・漫画で一番狂っているキャラといえば？,そこまで狂っていない,圧倒的に狂っている
1225,アニメ・漫画 といえば,アニメ・漫画で一番努力したキャラといえば？,そこまで努力していない,誰よりも努力した
1226,アニメ・漫画 といえば,アニメ・漫画で一番成長したキャラといえば？,そこまで変わっていない,大きく成長した
1227,アニメ・漫画 といえば,アニメ・漫画で一番泣けるキャラといえば？,そこまで泣けない,大号泣する
1228,アニメ・漫画 といえば,アニメ・漫画で一番笑えるキャラといえば？,そこまで笑えない,最高に笑える
1229,アニメ・漫画 といえば,アニメ・漫画で一番信用できるキャラといえば？,信用しにくい,絶対に信用できる
1230,アニメ・漫画 といえば,アニメ・漫画で一番信用できないキャラといえば？,そこまで怪しくない,絶対に信用できない
1231,アニメ・漫画 といえば,アニメ・漫画で仲間にするなら誰といえば？,仲間にしたくない,絶対に仲間にしたい
1232,アニメ・漫画 といえば,アニメ・漫画で上司にするなら誰といえば？,上司にはしたくない,理想の上司
1233,アニメ・漫画 といえば,アニメ・漫画で部下にするなら誰といえば？,部下にはしたくない,理想の部下
1234,アニメ・漫画 といえば,アニメ・漫画で親友にするなら誰といえば？,親友にはしにくい,絶対に親友にしたい
1235,アニメ・漫画 といえば,アニメ・漫画で兄・姉にするなら誰といえば？,兄・姉にはしたくない,理想の兄・姉
1236,アニメ・漫画 といえば,アニメ・漫画で弟・妹にするなら誰といえば？,弟・妹にはしたくない,理想の弟・妹
1237,アニメ・漫画 といえば,アニメ・漫画でボディーガードにするなら誰といえば？,任せるのは不安,絶対に任せたい
1238,アニメ・漫画 といえば,アニメ・漫画で無人島に連れていくなら誰といえば？,連れていきたくない,絶対に連れていきたい
1239,アニメ・漫画 といえば,アニメ・漫画で一緒に冒険するなら誰といえば？,一緒は不安,絶対に一緒がいい
1240,アニメ・漫画 といえば,アニメ・漫画で一緒に飲みに行くなら誰といえば？,あまり行きたくない,絶対に行きたい
1241,アニメ・漫画 といえば,アニメ・漫画で一番住んでみたい世界といえば？,住みたくない,絶対に住みたい
1242,アニメ・漫画 といえば,アニメ・漫画で一番住みたくない世界といえば？,住んでも平気,絶対に住みたくない
1243,アニメ・漫画 といえば,アニメ・漫画に登場する場所で一番行ってみたい場所といえば？,行きたくない,絶対に行きたい
1244,アニメ・漫画 といえば,アニメ・漫画に登場する能力で一番欲しいものといえば？,あまり欲しくない,絶対に欲しい
1245,アニメ・漫画 といえば,アニメ・漫画に登場する道具で一番欲しいものといえば？,あまり欲しくない,絶対に欲しい
1246,アニメ・漫画 といえば,アニメ・漫画に登場する料理で一番食べてみたいものといえば？,食べたくない,絶対に食べたい
1247,アニメ・漫画 といえば,アニメ・漫画に登場する乗り物で一番乗ってみたいものといえば？,乗りたくない,絶対に乗りたい
1248,アニメ・漫画 といえば,アニメ・漫画の名ゼリフで一度は言ってみたいものといえば？,言ってみたくない,絶対に言ってみたい
1249,アニメ・漫画 といえば,アニメ・漫画作品で、もう一度最初から見たい作品といえば？,見返さなくていい,今すぐ見返したい
1250,アニメ・漫画 といえば,アニメ・漫画作品で、記憶を消してもう一度見たい作品といえば？,そこまでではない,絶対にもう一度見たい
